,ID,exerciseCategory,exerciseName,level,type,direction,modality,joint
132,,ec 132,en 132,Beginner,Upper,Push,FW,M
133,,ec 133,en 133,Intermediate,Upper,Push,FW,M
134,,ec 134,en 134,Intermediate,Upper,Push,M,M
135,,ec 135,en 135,Beginner,Upper,Push,FW,M
136,,ec 136,en 136,Beginner,Upper,Push,FW,M
137,,ec 137,en 137,Advanced,Upper,Push,C,S
138,,ec 138,en 138,Advanced,Upper,Push,C,S
139,,ec 139,en 139,Advanced,Upper,Push,FW,S
140,,ec 140,en 140,Beginner,Upper,Push,FW,S
141,,ec 141,en 141,Advanced,Upper,Push,C,S
142,,ec 142,en 142,Advanced,Upper,Push,C,S
143,,ec 143,en 143,Advanced,Upper,Push,FW,S
144,,ec 144,en 144,Advanced,Upper,Push,FW,S
145,,ec 145,en 145,Intermediate,Upper,Push,C,S
146,,ec 146,en 146,Beginner,Upper,Push,M,S
147,,ec 147,en 147,Beginner,Upper,Push,M,S
148,,ec 148,en 148,Advanced,Lower,Pull,FW,M
149,,ec 149,en 149,Intermediate,Lower,Pull,FW,M
150,,ec 150,en 150,Advanced,Lower,Pull,FW,M
151,,ec 151,en 151,Beginner,Lower,Pull,FW,M
152,,ec 152,en 152,Intermediate,Lower,Pull,FW,M
153,,ec 153,en 153,Advanced,Lower,Pull,FW,S
154,,ec 154,en 154,Beginner,Lower,Pull,M,S
155,,ec 155,en 155,Intermediate,Lower,Pull,M,S
156,,ec 156,en 156,Beginner,Lower,Pull,M,S
157,,ec 157,en 157,Intermediate,Lower,Pull,M,S
158,,ec 158,en 158,Beginner,Lower,Pull,M,S
159,,ec 159,en 159,Advanced,Lower,Push,FW,M
160,,ec 160,en 160,Advanced,Lower,Push,FW,M
161,,ec 161,en 161,Intermediate,Lower,Push,FW,M
162,,ec 162,en 162,Intermediate,Lower,Push,FW,M
163,,ec 163,en 163,Intermediate,Lower,Push,FW,M
164,,ec 164,en 164,Advanced,Lower,Push,FW,M
165,,ec 165,en 165,Beginner,Lower,Push,FW,M
166,,ec 166,en 166,Advanced,Lower,Push,FW,M
167,,ec 167,en 167,Advanced,Lower,Push,FW,M
168,,ec 168,en 168,Intermediate,Lower,Push,FW,M
169,,ec 169,en 169,Advanced,Lower,Push,FW,M
170,,ec 170,en 170,Beginner,Lower,Push,FW,M
171,,ec 171,en 171,Intermediate,Lower,Push,FW,M
172,,ec 172,en 172,Intermediate,Lower,Push,FW,M
173,,ec 173,en 173,Advanced,Lower,Push,FW,M
174,,ec 174,en 174,Beginner,Lower,Push,FW,M
175,,ec 175,en 175,Beginner,Lower,Push,FW,M
176,,ec 176,en 176,Advanced,Lower,Push,FW,M
177,,ec 177,en 177,Beginner,Lower,Push,FW,M
178,,ec 178,en 178,Intermediate,Lower,Push,FW,M
179,,ec 179,en 179,Advanced,Lower,Push,FW,M
180,,ec 180,en 180,Beginner,Lower,Push,FW,M
